Frequency (MHz) - Values	Backscatter (1/str*cm^2) - Values	Frequency (MHz) - Linear Fit	Backscatter (1/str*cm^2) - Linear Fit
2.35	2.36E-04	2.35	1.56E-04
2.52	2.42E-04	2.52	1.99E-04
2.69	2.70E-04	2.69	2.49E-04
2.86	2.16E-04	2.86	3.07E-04
3.03	2.81E-04	3.03	3.75E-04
3.19	3.87E-04	3.19	4.53E-04
3.36	3.93E-04	3.36	5.41E-04
3.53	6.26E-04	3.53	6.42E-04
3.7	6.15E-04	3.7	7.55E-04
3.87	8.66E-04	3.87	8.81E-04
4.03	1.01E-03	4.03	1.02E-03
4.2	1.32E-03	4.2	1.18E-03
4.37	1.36E-03	4.37	1.35E-03
4.54	2.10E-03	4.54	1.54E-03
4.71	1.61E-03	4.71	1.75E-03
4.87	2.11E-03	4.87	1.98E-03
5.04	1.86E-03	5.04	2.23E-03
5.21	2.35E-03	5.21	2.49E-03
5.38	3.01E-03	5.38	2.79E-03
5.55	3.04E-03	5.55	3.10E-03
