Frequency (MHz) - Values	Backscatter (1/str*cm^2) - Values	Frequency (MHz) - Linear Fit	Backscatter (1/str*cm^2) - Linear Fit
2.35	3.40E-03	2.35	2.65E-03
2.52	3.18E-03	2.52	3.28E-03
2.69	4.53E-03	2.69	4.02E-03
2.86	4.32E-03	2.86	4.85E-03
3.03	5.58E-03	3.03	5.80E-03
3.19	6.20E-03	3.19	6.87E-03
3.36	7.99E-03	3.36	8.07E-03
3.53	7.05E-03	3.53	9.40E-03
3.7	8.96E-03	3.7	1.09E-02
3.87	1.21E-02	3.87	1.25E-02
4.03	1.53E-02	4.03	1.43E-02
4.2	1.84E-02	4.2	1.62E-02
4.37	1.86E-02	4.37	1.83E-02
4.54	1.87E-02	4.54	2.06E-02
4.71	2.67E-02	4.71	2.31E-02
4.87	2.68E-02	4.87	2.58E-02
5.04	2.99E-02	5.04	2.87E-02
5.21	3.08E-02	5.21	3.18E-02
5.38	3.16E-02	5.38	3.51E-02
5.55	3.98E-02	5.55	3.86E-02
